Customer_ID,Age,Gender,Income_Level,Education_Level,Marital_Status,Credit_Score,Monthly_Expenditure,Payment_Default,Card_Type,Transaction_Frequency,Online_Purchase_Ratio,Spending_Category,Transaction_Amount,Monthly_Income,Monthly_Income_INR,Monthly_Expenditure_INR,Transaction_Amount_INR,City_or_State
CUST0000016,70,Male,Medium,Master's,Married,333,1920.45,No,Gold,30,0.5,Education,64.02,4751.46,394371.18,159397.35,5313.66,Mumbai
CUST0000017,53,Male,Medium,Master's,Married,563,1123.56,No,Gold,7,0.78,Electronics,160.51,6800.46,564438.18,93255.48,13322.33,Mumbai
CUST0000018,57,Male,Medium,Bachelor's,Single,437,3898.22,No,Standard,28,0.7,Utilities,139.22,5844.37,485082.71,323552.26,11555.26,Tamil Nadu
CUST0000019,41,Female,Medium,Master's,Married,761,2222.09,No,Standard,7,0.72,Online Shopping,317.44,4707.21,390698.43,184433.47,26347.52,Mumbai
CUST0000020,20,Male,Medium,Bachelor's,Single,467,1041.01,No,Platinum,42,0.87,Utilities,24.79,4786.88,397311.04,86403.83,2057.57,Mumbai
CUST0000021,39,Male,Medium,Bachelor's,Married,380,4531.68,No,Gold,6,0.31,Dining,755.28,6272.11,520585.13,376129.44,62688.24,Hyderabad
CUST0000022,70,Male,Low,Master's,Married,706,1070.71,Yes,Platinum,39,0.31,Electronics,27.45,2266.22,188096.26,88868.93,2278.35,Maharashtra
CUST0000023,19,Male,Medium,Master's,Married,345,226.46,No,Standard,21,0.81,Groceries,10.78,5065.58,420443.14,18796.18,894.74,Karnataka
CUST0000024,41,Male,Low,Master's,Married,352,199.37,No,Gold,13,0.72,Dining,15.34,1284.89,106645.87,16547.71,1273.22,Hyderabad
CUST0000025,61,Male,High,High School,Married,775,3149.35,No,Standard,40,0.84,Entertainment,78.73,14386.97,1194118.51,261396.05,6534.59,Lucknow
CUST0000026,47,Female,Low,High School,Married,315,3342.21,No,Standard,26,0.15,Entertainment,128.55,2402.9,199440.7,277403.43,10669.65,Gujarat
CUST0000027,55,Male,Medium,Master's,Single,659,1624.1,Yes,Standard,35,0.6,Other,46.4,5210.59,432478.97,134800.3,3851.2,Kolkata
CUST0000028,19,Male,Medium,Bachelor's,Single,786,1668.05,No,Standard,38,0.22,Travel,43.9,6522.82,541394.06,138448.15,3643.7,Lucknow
CUST0000029,77,Male,Medium,Bachelor's,Married,801,1763.52,No,Standard,28,0.5,Healthcare,62.98,6682.15,554618.45,146372.16,5227.34,Maharashtra
CUST0000030,38,Male,Low,Master's,Married,440,3432.78,No,Platinum,13,0.22,Education,264.06,1195.49,99225.67,284920.74,21916.98,Bangalore
CUST0000031,50,Female,Medium,Master's,Married,746,384.86,No,Standard,47,0.2,Groceries,8.19,3262.42,270780.86,31943.38,679.77,Karnataka
CUST0000032,29,Female,Medium,Master's,Single,589,4652.67,No,Standard,6,0.11,Online Shopping,775.44,4774.59,396290.97,386171.61,64361.52,Uttar Pradesh
CUST0000033,75,Male,Medium,Bachelor's,Single,508,1190.35,No,Standard,25,0.6,Education,47.61,4373.98,363040.34,98799.05,3951.63,Lucknow
CUST0000034,39,Male,Medium,Master's,Single,774,4998.4,Yes,Standard,38,0.39,Other,131.54,3854.85,319952.55,414867.2,10917.82,Gujarat
CUST0000035,78,Male,Medium,High School,Divorced,712,940.46,No,Gold,31,0.18,Electronics,30.34,6635.91,550780.53,78058.18,2518.22,Uttar Pradesh
CUST0000036,61,Female,Medium,High School,Married,726,3880.58,No,Standard,41,0.36,Healthcare,94.65,6560.39,544512.37,322088.14,7855.95,Telangana
CUST0000037,42,Female,Medium,Bachelor's,Single,670,1194.72,No,Gold,11,0.24,Utilities,108.61,4861.73,403523.59,99161.76,9014.63,Tamil Nadu
CUST0000038,66,Female,Medium,High School,Single,589,496.15,No,Standard,26,0.85,Travel,19.08,3539.11,293746.13,41180.45,1583.64,Uttar Pradesh
CUST0000039,44,Male,Medium,Bachelor's,Divorced,731,4387.17,No,Gold,8,0.36,Education,548.4,3054.45,253519.35,364135.11,45517.2,Tamil Nadu
CUST0000040,76,Female,Low,Bachelor's,Single,567,4307.88,No,Gold,18,0.37,Education,239.33,2027.2,168257.6,357554.04,19864.39,Kolkata
CUST0000041,59,Male,Low,Bachelor's,Married,450,2077.49,No,Platinum,38,0.77,Travel,54.67,2496.24,207187.92,172431.67,4537.61,Lucknow
CUST0000042,45,Male,Low,High School,Single,554,3541.74,No,Platinum,27,0.62,Education,131.18,1984.27,164694.41,293964.42,10887.94,Telangana
CUST0000043,77,Male,Low,Bachelor's,Divorced,652,2829.62,No,Gold,48,0.67,Online Shopping,58.95,1604.15,133144.45,234858.46,4892.85,Lucknow
CUST0000044,33,Male,Medium,Bachelor's,Married,676,4279.48,No,Standard,46,0.61,Healthcare,93.03,6595.86,547456.38,355196.84,7721.49,Lucknow
CUST0000045,32,Female,Medium,Bachelor's,Married,657,1643.77,Yes,Gold,29,0.86,Dining,56.68,3761.01,312163.83,136432.91,4704.44,Tamil Nadu
CUST0000046,79,Female,Low,Master's,Single,669,2665.99,Yes,Gold,5,0.27,Electronics,533.2,2775.97,230405.51,221277.17,44255.6,Punjab
CUST0000047,79,Male,High,Master's,Single,526,2478.32,No,Platinum,19,0.89,Travel,130.44,8794.22,729920.26,205700.56,10826.52,Telangana
CUST0000048,64,Female,Low,Bachelor's,Married,602,1834.14,No,Standard,36,0.76,Travel,50.95,1552.42,128850.86,152233.62,4228.85,Jaipur
CUST0000049,79,Other,Medium,Master's,Married,688,4468.13,Yes,Standard,18,0.57,Utilities,248.23,3239.83,268905.89,370854.79,20603.09,Karnataka
CUST0000050,68,Female,Medium,High School,Single,676,912.8,No,Gold,45,0.63,Other,20.28,3444.02,285853.66,75762.4,1683.24,Pune
CUST0000051,61,Female,Medium,Bachelor's,Single,417,832.59,No,Standard,25,0.62,Other,33.3,6254,519082,69104.97,2763.9,Delhi
CUST0000052,72,Female,Low,Master's,Married,304,2926.86,No,Standard,11,0.15,Education,266.08,2211.22,183531.26,242929.38,22084.64,Hyderabad
CUST0000053,69,Other,Medium,Bachelor's,Married,743,3321.72,No,Standard,40,0.27,Travel,83.04,6503.65,539802.95,275702.76,6892.32,Punjab
CUST0000054,74,Female,Medium,PhD,Single,651,1053.63,No,Gold,25,0.87,Education,42.15,3476.33,288535.39,87451.29,3498.45,Madhya Pradesh
CUST0000055,20,Male,High,Bachelor's,Single,832,2014.52,No,Platinum,44,0.53,Entertainment,45.78,10538.16,874667.28,167205.16,3799.74,Gujarat
CUST0000056,54,Male,Medium,Master's,Divorced,423,4738.16,No,Standard,16,0.4,Utilities,296.14,5620.76,466523.08,393267.28,24579.62,Chennai
CUST0000057,68,Female,High,Bachelor's,Married,576,1308.43,No,Standard,19,0.71,Education,68.86,10838.63,899606.29,108599.69,5715.38,Ahmedabad
CUST0000058,24,Male,Low,Bachelor's,Married,693,3374.97,No,Standard,19,0.52,Entertainment,177.63,2565.8,212961.4,280122.51,14743.29,Punjab
CUST0000059,38,Female,Medium,Bachelor's,Married,659,3726.73,No,Standard,21,0.11,Groceries,177.46,5281.85,438393.55,309318.59,14729.18,Chennai
CUST0000060,26,Male,Medium,Master's,Single,768,2295.83,No,Gold,38,0.69,Other,60.42,6627.61,550091.63,190553.89,5014.86,Delhi
CUST0000061,56,Male,Medium,Bachelor's,Single,356,4693.88,Yes,Gold,48,0.69,Healthcare,97.79,6436.51,534230.33,389592.04,8116.57,Chennai
CUST0000062,35,Male,Low,Master's,Single,550,3709.62,Yes,Standard,39,0.23,Other,95.12,2000.13,166010.79,307898.46,7894.96,Bangalore
CUST0000063,21,Male,Medium,Bachelor's,Married,449,2343.83,No,Gold,43,0.87,Dining,54.51,5144.29,426976.07,194537.89,4524.33,Maharashtra
CUST0000064,42,Female,Medium,High School,Married,751,2889.74,No,Gold,42,0.28,Utilities,68.8,4726.04,392261.32,239848.42,5710.4,Rajasthan
CUST0000065,77,Female,Medium,Bachelor's,Single,461,3493.81,No,Standard,18,0.47,Utilities,194.1,5836.6,484437.8,289986.23,16110.3,Pune
CUST0000066,31,Female,Medium,Bachelor's,Divorced,419,3001.73,No,Standard,9,0.19,Travel,333.53,5352.58,444264.14,249143.59,27682.99,Rajasthan
CUST0000067,67,Female,High,Master's,Single,650,4405.62,Yes,Platinum,34,0.58,Education,129.58,12545.64,1041288.12,365666.46,10755.14,Hyderabad
CUST0000068,75,Male,Low,Bachelor's,Divorced,398,1848.75,No,Standard,8,0.4,Groceries,231.09,1866.11,154887.13,153446.25,19180.47,Tamil Nadu
CUST0000069,26,Female,High,Bachelor's,Divorced,466,1569.44,No,Gold,19,0.38,Dining,82.6,10467.77,868824.91,130263.52,6855.8,Rajasthan
CUST0000070,43,Female,High,Bachelor's,Single,813,1147.81,No,Standard,43,0.76,Education,26.69,14846.5,1232259.5,95268.23,2215.27,Madhya Pradesh
CUST0000071,70,Female,High,Bachelor's,Single,700,285.14,No,Gold,39,0.11,Dining,7.31,8719.78,723741.74,23666.62,606.73,Pune
CUST0000072,19,Male,Medium,Master's,Married,664,310.77,Yes,Gold,49,0.74,Travel,6.34,6205.16,515028.28,25793.91,526.22,Karnataka
CUST0000073,37,Female,Medium,High School,Married,625,4363.27,No,Gold,14,0.56,Travel,311.66,3357.8,278697.4,362151.41,25867.78,Mumbai
CUST0000074,45,Female,High,Bachelor's,Married,546,3424.13,Yes,Platinum,6,0.89,Other,570.69,14130.93,1172867.19,284202.79,47367.27,Maharashtra
CUST0000075,64,Other,Low,PhD,Divorced,733,3336.61,No,Platinum,48,0.57,Electronics,69.51,2923.49,242649.67,276938.63,5769.33,Rajasthan
CUST0000076,77,Female,Medium,Master's,Married,392,3111.75,No,Gold,28,0.14,Other,111.13,4679.88,388430.04,258275.25,9223.79,Kolkata
CUST0000077,24,Male,Medium,Bachelor's,Single,567,4261.17,Yes,Standard,32,0.14,Utilities,133.16,4290.02,356071.66,353677.11,11052.28,West Bengal
CUST0000078,61,Female,Medium,Bachelor's,Single,620,2453.31,No,Standard,26,0.81,Utilities,94.36,5882.15,488218.45,203624.73,7831.88,Kolkata
CUST0000079,78,Female,Low,Bachelor's,Married,361,4365.01,No,Gold,48,0.77,Groceries,90.94,2401.6,199332.8,362295.83,7548.02,West Bengal
CUST0000080,25,Male,Medium,Bachelor's,Single,599,1861.28,No,Gold,36,0.38,Healthcare,51.7,4302.56,357112.48,154486.24,4291.1,Karnataka
CUST0000081,64,Female,High,Master's,Married,702,4640.87,No,Standard,35,0.59,Entertainment,132.6,9733.22,807857.26,385192.21,11005.8,Uttar Pradesh
CUST0000082,52,Female,Low,Bachelor's,Single,602,3523.42,No,Standard,23,0.49,Entertainment,153.19,2092.25,173656.75,292443.86,12714.77,Ahmedabad
CUST0000083,31,Male,High,Bachelor's,Single,552,1360.17,No,Gold,25,0.87,Education,54.41,13059.31,1083922.73,112894.11,4516.03,West Bengal
CUST0000084,34,Male,Low,High School,Single,777,2864.02,Yes,Standard,7,0.86,Travel,409.15,1445.82,120003.06,237713.66,33959.45,West Bengal
CUST0000085,53,Male,Medium,Bachelor's,Married,668,2711.85,No,Standard,10,0.89,Online Shopping,271.18,3532.17,293170.11,225083.55,22507.94,Punjab
CUST0000086,67,Male,Low,High School,Single,459,775.7,Yes,Gold,36,0.79,Travel,21.55,1951.66,161987.78,64383.1,1788.65,Punjab
CUST0000087,57,Male,Low,High School,Married,465,2997.09,No,Gold,6,0.83,Online Shopping,499.52,2694.63,223654.29,248758.47,41460.16,Maharashtra
CUST0000088,21,Female,High,Bachelor's,Married,504,1642.45,No,Standard,28,0.27,Travel,58.66,13056.99,1083730.17,136323.35,4868.78,Rajasthan
CUST0000089,19,Male,Medium,High School,Married,566,356.51,Yes,Standard,49,0.76,Entertainment,7.28,3102.99,257548.17,29590.33,604.24,Telangana
CUST0000090,79,Male,Medium,High School,Married,437,4748.42,No,Standard,31,0.67,Healthcare,153.17,4031.84,334642.72,394118.86,12713.11,Bangalore
CUST0000091,23,Female,Low,Bachelor's,Single,667,3243.3,No,Standard,13,0.87,Healthcare,249.48,2903.01,240949.83,269193.9,20706.84,Karnataka
CUST0000092,71,Female,Medium,High School,Married,742,4396.9,No,Gold,17,0.56,Other,258.64,6825.95,566553.85,364942.7,21467.12,Telangana
CUST0000093,59,Male,Medium,High School,Single,316,3412.67,No,Gold,18,0.17,Other,189.59,5821.42,483177.86,283251.61,15735.97,Kolkata
CUST0000094,21,Male,Medium,Bachelor's,Married,367,1849.22,No,Standard,15,0.58,Groceries,123.28,3933.7,326497.1,153485.26,10232.24,Rajasthan
CUST0000095,71,Male,Medium,High School,Single,432,2612.17,No,Standard,18,0.65,Online Shopping,145.12,3830.63,317942.29,216810.11,12044.96,Maharashtra
CUST0000096,46,Female,High,Bachelor's,Married,729,3411.16,No,Standard,20,0.28,Online Shopping,170.56,11078.57,919521.31,283126.28,14156.48,Hyderabad
CUST0000097,35,Male,Medium,High School,Divorced,607,4805.24,No,Platinum,14,0.42,Online Shopping,343.23,3761.72,312222.76,398834.92,28488.09,Maharashtra
CUST0000098,43,Female,Medium,Master's,Married,473,1342.98,No,Standard,24,0.58,Other,55.96,6988.24,580023.92,111467.34,4644.68,Delhi
CUST0000099,61,Other,Low,Master's,Married,711,4387.39,No,Platinum,20,0.4,Travel,219.37,1252.93,103993.19,364153.37,18207.71,Pune
CUST0000100,51,Male,Medium,Master's,Married,396,4627.98,No,Platinum,38,0.4,Electronics,121.79,3338.25,277074.75,384122.34,10108.57,Uttar Pradesh
CUST0000101,27,Female,Medium,Bachelor's,Single,453,3385.04,No,Gold,20,0.21,Other,169.25,5764.08,478418.64,280958.32,14047.75,Maharashtra
CUST0000102,79,Other,Medium,Master's,Divorced,541,4663.21,No,Gold,18,0.85,Entertainment,259.07,5438.96,451433.68,387046.43,21502.81,Uttar Pradesh
CUST0000103,53,Male,Low,Bachelor's,Single,603,2049.61,No,Standard,32,0.7,Utilities,64.05,2317.19,192326.77,170117.63,5316.15,Tamil Nadu
CUST0000104,31,Female,High,High School,Divorced,584,4769.78,No,Gold,22,0.1,Education,216.81,14705.3,1220539.9,395891.74,17995.23,Mumbai
CUST0000105,48,Female,Low,Bachelor's,Married,326,3543.64,No,Standard,30,0.71,Electronics,118.12,1455.79,120830.57,294122.12,9803.96,Jaipur
CUST0000106,65,Female,Medium,Master's,Married,701,305.83,No,Platinum,42,0.69,Travel,7.28,5706.77,473661.91,25383.89,604.24,Pune
CUST0000107,32,Female,Medium,Bachelor's,Married,659,4543.68,No,Standard,11,0.11,Travel,413.06,6271.58,520541.14,377125.44,34283.98,Chennai
CUST0000108,25,Female,Low,High School,Married,359,2473.92,No,Gold,49,0.4,Education,50.49,1680.9,139514.7,205335.36,4190.67,Lucknow
CUST0000109,31,Female,Medium,Master's,Married,501,2355.6,No,Standard,38,0.59,Online Shopping,61.99,4092.21,339653.43,195514.8,5145.17,Lucknow
CUST0000110,40,Female,Medium,Master's,Single,669,2875.69,Yes,Platinum,49,0.46,Entertainment,58.69,3841.21,318820.43,238682.27,4871.27,Madhya Pradesh
CUST0000111,77,Female,High,High School,Married,832,831.98,Yes,Standard,11,0.72,Online Shopping,75.63,12641.7,1049261.1,69054.34,6277.29,Pune
CUST0000112,74,Female,High,Bachelor's,Married,451,2398.91,No,Gold,37,0.44,Online Shopping,64.84,10584.96,878551.68,199109.53,5381.72,Madhya Pradesh
CUST0000113,79,Female,High,High School,Married,401,4172.52,No,Standard,39,0.22,Utilities,106.99,9493.4,787952.2,346319.16,8880.17,West Bengal
CUST0000114,57,Male,Low,Master's,Married,745,175.86,No,Standard,43,0.88,Utilities,4.09,1314.53,109105.99,14596.38,339.47,Gujarat
CUST0000115,38,Male,Medium,Bachelor's,Single,528,1437.29,No,Gold,25,0.29,Healthcare,57.49,6223.74,516570.42,119295.07,4771.67,Lucknow
CUST0000116,33,Male,Medium,Bachelor's,Single,424,112.03,No,Platinum,32,0.67,Dining,3.5,3128.65,259677.95,9298.49,290.5,Jaipur
CUST0000117,62,Male,High,Master's,Married,535,2136.99,No,Standard,36,0.21,Dining,59.36,7074.04,587145.32,177370.17,4926.88,Karnataka
CUST0000118,35,Male,Medium,Bachelor's,Single,461,3668.75,Yes,Platinum,48,0.36,Other,76.43,6494.65,539055.95,304506.25,6343.69,Tamil Nadu
CUST0000119,64,Female,High,Bachelor's,Single,652,4013.98,Yes,Gold,20,0.45,Online Shopping,200.7,7454.58,618730.14,333160.34,16658.1,Bangalore
CUST0000120,70,Male,Medium,Bachelor's,Married,367,4731.43,No,Platinum,14,0.25,Education,337.96,4078,338474,392708.69,28050.68,Tamil Nadu
CUST0000121,41,Female,Medium,Bachelor's,Married,472,3081.67,No,Standard,27,0.46,Online Shopping,114.14,4967.34,412289.22,255778.61,9473.62,Uttar Pradesh
CUST0000122,43,Male,Low,Bachelor's,Married,560,1347.67,No,Standard,19,0.23,Entertainment,70.93,2444.37,202882.71,111856.61,5887.19,Bangalore
CUST0000123,42,Female,Medium,High School,Single,516,4628.32,No,Platinum,47,0.55,Groceries,98.47,5066.91,420553.53,384150.56,8173.01,Ahmedabad
CUST0000124,77,Other,Medium,Bachelor's,Married,423,3899.05,No,Standard,10,0.63,Education,389.9,3031.55,251618.65,323621.15,32361.7,Delhi
CUST0000125,77,Male,Medium,High School,Single,461,2914.7,No,Gold,37,0.15,Dining,78.78,3314.22,275080.26,241920.1,6538.74,Delhi
CUST0000126,77,Female,Medium,Bachelor's,Married,500,3508.64,No,Standard,43,0.8,Electronics,81.6,5885.59,488503.97,291217.12,6772.8,Madhya Pradesh
CUST0000127,62,Male,Medium,Master's,Single,753,4629.15,No,Standard,16,0.25,Healthcare,289.32,4600.41,381834.03,384219.45,24013.56,Pune
CUST0000128,58,Female,Low,PhD,Married,701,3590.73,No,Gold,40,0.28,Healthcare,89.77,2880.44,239076.52,298030.59,7450.91,Telangana
CUST0000129,46,Male,Medium,Bachelor's,Married,761,1905.04,No,Gold,35,0.63,Other,54.43,5598.31,464659.73,158118.32,4517.69,Kolkata
CUST0000130,32,Female,Medium,Bachelor's,Married,574,3593.84,No,Gold,14,0.48,Online Shopping,256.7,5326.48,442097.84,298288.72,21306.1,Lucknow
CUST0000131,62,Male,Medium,Bachelor's,Married,505,297.36,No,Standard,38,0.5,Education,7.83,6605.6,548264.8,24680.88,649.89,Pune
CUST0000132,18,Female,Low,Master's,Married,339,1993.44,No,Standard,45,0.2,Entertainment,44.3,1171.55,97238.65,165455.52,3676.9,Hyderabad
CUST0000133,42,Female,Low,High School,Single,572,2090.98,No,Standard,14,0.74,Electronics,149.36,2722.64,225979.12,173551.34,12396.88,Gujarat
CUST0000134,24,Male,Low,PhD,Married,392,917.51,No,Standard,15,0.59,Other,61.17,2243.33,186196.39,76153.33,5077.11,Uttar Pradesh
CUST0000135,26,Male,Medium,Bachelor's,Single,341,213.12,No,Platinum,18,0.21,Travel,11.84,3264.25,270932.75,17688.96,982.72,Telangana
CUST0000136,41,Male,Low,PhD,Divorced,764,753.57,No,Gold,7,0.4,Other,107.65,1039.51,86279.33,62546.31,8934.95,Kolkata
CUST0000137,18,Male,Medium,Master's,Married,678,3307.65,No,Standard,37,0.75,Travel,89.4,6936.5,575729.5,274534.95,7420.2,Punjab
CUST0000138,61,Female,High,Master's,Single,406,4031.22,No,Platinum,11,0.55,Dining,366.47,11279.56,936203.48,334591.26,30417.01,Rajasthan
CUST0000139,25,Male,Low,Bachelor's,Married,627,4942.2,Yes,Standard,8,0.19,Entertainment,617.78,1700.98,141181.34,410202.6,51275.74,Punjab
CUST0000140,41,Male,Medium,High School,Single,364,1797.18,No,Gold,43,0.4,Travel,41.79,6576.01,545808.83,149165.94,3468.57,Madhya Pradesh
CUST0000141,28,Male,Medium,Bachelor's,Single,664,3036.96,No,Standard,14,0.29,Utilities,216.93,3465.96,287674.68,252067.68,18005.19,Karnataka
CUST0000142,68,Female,High,Bachelor's,Divorced,783,4692.01,Yes,Gold,19,0.51,Entertainment,246.95,14653.66,1216253.78,389436.83,20496.85,Delhi
CUST0000143,34,Male,Medium,High School,Married,323,918.5,No,Standard,20,0.77,Online Shopping,45.92,4715.28,391368.24,76235.5,3811.36,Rajasthan
CUST0000144,25,Male,Medium,Bachelor's,Married,839,3616.46,No,Standard,42,0.45,Online Shopping,86.11,4346.45,360755.35,300166.18,7147.13,Kolkata
CUST0000145,52,Male,High,Bachelor's,Single,361,3799.4,No,Standard,8,0.45,Other,474.92,11090.64,920523.12,315350.2,39418.36,Maharashtra
CUST0000146,52,Male,Medium,Bachelor's,Single,790,535.98,No,Standard,8,0.82,Dining,67,6564.23,544831.09,44486.34,5561,Mumbai
CUST0000147,50,Female,High,Bachelor's,Divorced,572,4320.12,No,Standard,40,0.56,Travel,108,8343.94,692547.02,358569.96,8964,Gujarat
CUST0000148,76,Male,Low,High School,Single,528,4084.21,No,Standard,31,0.55,Online Shopping,131.75,2871.14,238304.62,338989.43,10935.25,Rajasthan
CUST0000149,22,Male,High,PhD,Single,319,263.67,No,Standard,26,0.31,Groceries,10.14,12166.32,1009804.56,21884.61,841.62,Hyderabad
CUST0000150,59,Female,Medium,High School,Married,302,546.31,No,Gold,26,0.59,Groceries,21.01,4513.44,374615.52,45343.73,1743.83,Rajasthan
CUST0000151,56,Female,Medium,Bachelor's,Married,720,340.72,No,Standard,21,0.56,Travel,16.22,6697.38,555882.54,28279.76,1346.26,Kolkata
CUST0000152,75,Male,Low,Bachelor's,Married,606,1740.24,No,Gold,49,0.42,Dining,35.52,2572.35,213505.05,144439.92,2948.16,Ahmedabad
CUST0000153,58,Female,Medium,Master's,Single,731,2595.52,No,Standard,38,0.89,Groceries,68.3,5414.04,449365.32,215428.16,5668.9,Jaipur
CUST0000154,45,Female,Low,High School,Single,435,2708.5,No,Platinum,36,0.81,Online Shopping,75.24,2600.51,215842.33,224805.5,6244.92,Lucknow
CUST0000155,24,Male,High,Bachelor's,Single,814,1411.57,No,Platinum,10,0.7,Dining,141.16,7933.09,658446.47,117160.31,11716.28,Lucknow
CUST0000156,26,Female,High,Bachelor's,Divorced,492,4566.82,No,Standard,37,0.53,Travel,123.43,11918.66,989248.78,379046.06,10244.69,Lucknow
CUST0000157,25,Female,Low,High School,Single,714,1904.49,No,Gold,12,0.47,Entertainment,158.71,1770.5,146951.5,158072.67,13172.93,Hyderabad
CUST0000158,29,Male,High,Bachelor's,Married,417,323.2,No,Standard,40,0.25,Dining,8.08,12425.78,1031339.74,26825.6,670.64,Madhya Pradesh
CUST0000159,51,Male,Medium,Master's,Married,508,1571.11,No,Platinum,9,0.34,Online Shopping,174.57,5742.74,476647.42,130402.13,14489.31,Maharashtra
CUST0000160,50,Male,Medium,PhD,Married,333,2702.44,No,Gold,9,0.72,Entertainment,300.27,4282.42,355440.86,224302.52,24922.41,Gujarat
CUST0000161,65,Female,Medium,High School,Married,617,2100.29,No,Standard,14,0.46,Electronics,150.02,5236.87,434660.21,174324.07,12451.66,Uttar Pradesh
CUST0000162,72,Other,Low,High School,Single,419,1441.83,No,Standard,44,0.81,Other,32.77,2795.12,231994.96,119671.89,2719.91,Rajasthan
CUST0000163,40,Female,Low,Bachelor's,Single,824,743.48,No,Standard,11,0.22,Healthcare,67.59,2220.31,184285.73,61708.84,5609.97,Gujarat
CUST0000164,79,Male,Medium,Bachelor's,Married,388,4113.91,No,Standard,16,0.51,Electronics,257.12,4818.16,399907.28,341454.53,21340.96,Hyderabad
CUST0000165,41,Female,High,High School,Single,811,4981.11,No,Gold,34,0.62,Entertainment,146.5,14721.98,1221924.34,413432.13,12159.5,Maharashtra
CUST0000166,54,Female,Low,High School,Married,346,1714.76,No,Standard,29,0.51,Healthcare,59.13,2217.71,184069.93,142325.08,4907.79,Telangana
CUST0000167,52,Male,High,PhD,Married,821,1969.94,No,Standard,32,0.81,Other,61.56,11498.99,954416.17,163505.02,5109.48,West Bengal
CUST0000168,61,Male,Medium,Master's,Married,583,3128.38,No,Standard,47,0.89,Education,66.56,5390.01,447370.83,259655.54,5524.48,Hyderabad
CUST0000169,57,Female,Medium,High School,Single,676,3620.36,No,Standard,17,0.19,Electronics,212.96,4054.5,336523.5,300489.88,17675.68,Kolkata
CUST0000170,39,Male,Medium,Bachelor's,Divorced,433,2020.94,Yes,Standard,26,0.2,Online Shopping,77.73,4032.82,334724.06,167738.02,6451.59,Pune
CUST0000171,44,Female,High,Bachelor's,Single,547,4534.15,No,Platinum,22,0.2,Dining,206.1,12816.52,1063771.16,376334.45,17106.3,Ahmedabad
CUST0000172,52,Male,Medium,High School,Married,617,2844.02,No,Standard,31,0.64,Dining,91.74,6663.58,553077.14,236053.66,7614.42,Delhi
CUST0000173,18,Male,Medium,Bachelor's,Married,735,2306.91,No,Gold,12,0.4,Healthcare,192.24,4566.6,379027.8,191473.53,15955.92,Jaipur
CUST0000174,52,Male,Medium,Bachelor's,Married,475,3268.7,No,Standard,10,0.69,Healthcare,326.87,6285.24,521674.92,271302.1,27130.21,Lucknow
CUST0000175,54,Male,Low,Master's,Married,650,4768.74,No,Standard,15,0.42,Healthcare,317.92,2170.33,180137.39,395805.42,26387.36,Rajasthan
